Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     R    563
     1       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R    563
     2      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     R    563
     3      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    564
     4      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    564
     5       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    563
     6       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    563
     7      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    563
     8      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    563
     9      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    563
    10       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    563
    11       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    563
    12      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    563
    13      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    563
    14       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    563
    15      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    563
    16       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    563
    17       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    563
    18       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    563
    19      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    563
    20      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    563
    21      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     R    562
Running = 4
Waiting = 18
