Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W     95
     1       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W     95
     2       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W     95
     3       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W     95
     4      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W     95
     5      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W     95
     6      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W     95
     7       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W     95
     8      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W     95
     9       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R     94
    10       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     R     94
    11      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W     95
    12       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W     94
    13      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W     94
    14       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W     94
    15      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W     94
    16      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W     94
    17      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W     94
    18       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W     94
    19      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W     94
    20      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W     94
    21      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W     94
Running = 2
Waiting = 20
